Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	svara	motifs	phrases
00:00:00.586	00:00:02.110	00:00:01.524			dha ni sa ri ma ga ri sa
00:00:01.157	00:00:02.106	00:00:00.949		ri ma ga ri sa	
00:00:02.549	00:00:05.132	00:00:02.583			ni ni ri sa sa ni ni dha dha pa
00:00:03.865	00:00:05.129	00:00:01.264		ni ni dha dha pa 	
00:00:06.269	00:00:07.652	00:00:01.383		ni ni dha dha pa	
00:00:11.792	00:00:14.220	00:00:02.428			pa dha ni sa ri sa ni sa pa
00:00:13.090	00:00:14.212	00:00:01.122		ni sa pa	
00:00:16.263	00:00:17.490	00:00:01.227		ga ri ri sa     	
00:00:18.085	00:00:19.419	00:00:01.334		ga ri ri sa	
00:00:25.328	00:00:26.518	00:00:01.190		ga ri ri sa	
00:00:27.150	00:00:28.402	00:00:01.252		ga ri ri sa	
00:00:31.425	00:00:32.810	00:00:01.385		ra ma ga ri sa 	
00:00:33.280	00:00:34.638	00:00:01.358		ra ma ga ri sa	
00:00:35.800	00:00:36.770	00:00:00.970	ni		
00:00:37.745	00:00:38.276	00:00:00.531	ni		
00:00:37.745	00:00:40.138	00:00:02.393		ni dha	
00:00:38.277	00:00:40.138	00:00:01.861	dha		
00:00:41.105	00:00:43.861	00:00:02.756		ma pa	
00:00:41.110	00:00:41.956	00:00:00.846	ma		
00:00:41.961	00:00:43.852	00:00:01.891	pa		
00:00:44.638	00:00:45.650	00:00:01.012	dha		
00:00:44.638	00:00:48.510	00:00:03.872		dha ni sa	
00:00:45.650	00:00:46.134	00:00:00.484	ni		
00:00:46.134	00:00:48.515	00:00:02.381	sa		
00:00:49.148	00:00:50.549	00:00:01.401	ni		
00:00:51.602	00:00:52.194	00:00:00.592	ni		
00:00:51.606	00:00:54.402	00:00:02.796		ni dha	
00:00:52.194	00:00:54.406	00:00:02.212	dha		
00:00:54.980	00:00:56.030	00:00:01.050	ma		
00:00:54.987	00:00:57.690	00:00:02.703		ma pa	
00:00:56.034	00:00:57.690	00:00:01.656	pa		
00:00:58.485	00:00:59.216	00:00:00.731	dha		
00:00:58.485	00:01:01.410	00:00:02.925		dha ni sa	
00:00:59.216	00:00:59.722	00:00:00.506	ni		
00:00:59.722	00:01:01.415	00:00:01.693	sa		
00:01:01.785	00:01:02.160	00:00:00.375	sa		
00:01:02.162	00:01:02.535	00:00:00.373	ri		
00:01:02.549	00:01:03.077	00:00:00.528	ri		
00:01:02.549	00:01:05.022	00:00:02.473		ri sa ni	
00:01:03.077	00:01:03.944	00:00:00.867	sa		
00:01:03.948	00:01:05.022	00:00:01.074	ni		
00:01:05.040	00:01:07.830	00:00:02.790		ni dha	
00:01:05.044	00:01:05.487	00:00:00.443	ni		
00:01:05.492	00:01:07.830	00:00:02.338	dha		
