	seq_start	importance	length	group_number	is_leader	leader_strength	proximity_label	seq_end	child_sequence_ix	proximity_label_min_start	proximity_label_best_start	proximity_label_best_imp	proximity_label_best_length	parent_seqs
0	13219	0.0	2.0	0.0	1.0	0.08400438165692053	0	13908	[]	12996	12996	1.0471555113499347	3.0	[13057, 12996]
20	396283	0.0	2.0	1.0	1.0	0.10822939148186608	20	396972	[396299]	395611	395842	1.0779710240863192	8.0	[395787, 394053, 393855, 395628, 395958, 395972, 396094, 396083, 395972, 395695, 394153, 395963, 394128, 394055, 395611, 395933, 394056, 396127, 395684, 393991, 395039, 394779, 395793, 396011, 396299, 394989, 395842, 395055, 394090, 395396, 395228]
400	13057	7.086151127050788e-08	2.5	20.0	1.0	0.11522307739327502	0	13918	[13219, 12996]	12996	12996	1.0471555113499347	3.0	[12996]
420	35382	0.0	2.5	21.0	1.0	0.14501199752873475	24	36243	[35584, 35333, 35848, 35849, 35351, 35863, 35483, 35357, 36000, 35493, 35494, 35626, 35754, 35765, 35639, 35394, 35395, 36216, 36047, 35425, 35431, 35692, 35566, 35695, 35447, 36088, 36092]	35221	35221	0.6282669081374476	8.0	[35447, 35431, 35425, 35394, 35425, 35221, 34800, 35425, 35357, 34588, 35425, 35425, 35351, 33879, 33808, 34206, 35425, 34671, 34472, 33934, 34715, 34093, 34683, 34269, 35333, 34266, 34426, 35425, 34818, 34900, 35425, 34228, 35395, 34404, 34575, 33813, 33841]
800	46639	0.0	3.0	40.0	1.0	0.14783654721574693	15	47672	[46593, 47622, 46855, 47115, 47629, 46990, 47507, 46995, 46997, 46998, 46749, 46890, 46973, 47534, 46906, 46656, 47170, 47171, 46793, 46817, 46822, 46697, 46953, 46828, 46574, 47471, 47600, 46704, 46965, 46710, 46585, 46717]	46412	46460	0.9530175691360578	10.0	[46656, 46585, 46697, 46717, 46526, 46526, 46526, 46526, 46593, 46460, 46449, 46710, 46527, 46574, 46526, 46412, 46704]
1200	79086	0.0	3.5	60.0	1.0	0.15326875078905797	26	80291	[79033, 79012, 79333, 79046, 79366, 79428, 79146, 79595, 79084, 79117, 79150, 79249, 79602, 79064, 79001, 79070, 79039]	78933	79117	1.0479789116492058	10.0	[78958, 79070, 79039, 79046, 79064, 78958, 79146, 78933, 79084, 79012, 79033, 79117, 79150, 79001]
40	261171	1.2526663786125774e-07	2.0	2.0	1.0	0.15635223901954384	40	261860	[]	260948	260965	1.115914688529333	3.0	[261035, 260551, 260224, 260364, 259822, 259828, 260535, 260625, 260522, 260228, 260652, 260948, 260552, 259905, 260075, 259860, 259807, 260000, 260533, 260692, 259841, 259807, 259807, 260557, 259845, 259807, 260965, 260718, 259808, 259612, 259612, 259612, 259612, 259842, 259842, 259842, 259842, 259842, 259895, 259895, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612]
60	30774	0.0	2.0	3.0	1.0	0.16121706536170607	48	31463	[30881, 30978, 30757, 30791, 30697, 30860, 30703, 30736, 30740, 30942]	30697	30697	0.8750406904318595	3.5	[30524, 30703, 30791, 30697, 30740, 30736, 30860, 30757, 30697, 30697, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236, 30236]
80	150050	0.0	2.0	4.0	1.0	0.1692392152389045	65	150739	[149966]	149622	149682	0.9569419762038754	3.5	[149876, 149705, 148314, 148081, 148346, 148170, 149928, 148536, 148386, 148695, 149302, 148419, 149854, 149622, 147967, 149049, 149442, 149077, 148645, 148889, 148877, 149966, 149249, 149680, 148081, 148128, 149682, 148127, 148403, 148535, 148474, 149337, 148257, 148613, 148137, 148118, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886]
100	179058	1.2526663786125774e-07	2.0	5.0	1.0	0.17159749306564118	62	179747	[179360, 179586, 179077, 179640, 179655, 179465, 179690, 179214, 179186, 179188, 179064, 179679]	177715	177904	1.303215580961394	10.0	[178780, 178765, 178281, 178610, 178417, 178782, 178740, 178577, 178162, 178388, 178509, 178616, 178309, 178366, 178003, 178176, 178605, 177842, 178900, 177796, 177837, 178860, 178520, 177981, 178868, 179064, 179077, 178644, 178613, 177910, 177910, 178237, 177981, 178034, 178905, 178079, 178785, 177910, 178226, 177842, 177910, 177910, 178911, 177936, 177764, 177865, 178455, 178435, 177910, 178228, 177904, 178045, 178013, 177910, 178015, 178506, 178388, 177781, 178309, 178488, 177942, 178041, 177715, 177715, 177715, 177715, 177715, 177715, 177715, 177715, 178457, 177764, 177759]
440	180110	0.0	2.5	22.0	1.0	0.17454457037840715	62	180971	[180673, 180065, 180163, 180455, 180263, 180475, 180627, 180693, 180603]	177715	177904	1.303215580961394	10.0	[179957, 178765, 178281, 178610, 178417, 179927, 180163, 179186, 178162, 179188, 178388, 180065, 178509, 179773, 179938, 179750, 179932, 179999, 179930, 178176, 179973, 178605, 179766, 180011, 179810, 179465, 179828, 179640, 179817, 177796, 179858, 179690, 180005, 179360, 178860, 177981, 178868, 179064, 179077, 178644, 178613, 177910, 178034, 178905, 178785, 177910, 178226, 177910, 179214, 178911, 177764, 178455, 178435, 177910, 178228, 177904, 178045, 178013, 179586, 178015, 178506, 178388, 177781, 179655, 178309, 178488, 177942, 178041, 178457, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 177764, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 177759]
820	79249	1.181025187841798e-07	3.0	41.0	1.0	0.17544174404494445	26	80282	[79428, 79333, 79366, 79595, 79602]	78933	79117	1.0479789116492058	10.0	[79086, 78958, 79070, 79039, 79333, 79046, 79064, 78958, 79146, 78933, 79084, 79012, 79033, 79117, 79150, 79001]
840	179957	0.0	3.0	42.0	1.0	0.17681304132668058	62	180990	[179973, 180110, 180627, 179999, 180005, 180263, 180011, 180673, 180163, 180693, 179927, 179930, 179932, 180065, 179938, 180455, 180603, 180475]	177715	177904	1.303215580961394	10.0	[178765, 178281, 178610, 178417, 179927, 179186, 178162, 179188, 178388, 178509, 178616, 179773, 179938, 179750, 179932, 179999, 179930, 178176, 179973, 178605, 179766, 180011, 178900, 179810, 179465, 179828, 179640, 179817, 177796, 179858, 179690, 180005, 179360, 178860, 177981, 178868, 179064, 179077, 178644, 178613, 177910, 177910, 178034, 178905, 178785, 177910, 178226, 177910, 179214, 178911, 177764, 178455, 178435, 177910, 178228, 177904, 178045, 178013, 177910, 179586, 178015, 178506, 178388, 177781, 179655, 178309, 178488, 177942, 178041, 178457, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 177764, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 179679, 177759]
460	149876	0.0	2.5	23.0	1.0	0.1840627271094297	65	150737	[150050, 149928, 149966, 149854]	149622	149682	0.9569419762038754	3.5	[149705, 148314, 148081, 148346, 148170, 149928, 148536, 148386, 148695, 149302, 148419, 148825, 149854, 149622, 147967, 149049, 149442, 149077, 148645, 148889, 148877, 149249, 149680, 148081, 148128, 149682, 148008, 148127, 148403, 148535, 148474, 149337, 148257, 148613, 148137, 148118, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886]
1600	165652	0.0	4.0	80.0	1.0	0.1870088962276162	52	167030	[166533, 165895, 166920, 165641, 166797, 165651, 165780, 165782, 165655, 166552, 166041, 165658, 165659, 166935, 166045, 166560, 166570, 166060, 165935, 165679, 165808, 166065, 166067, 166200, 166457, 166713, 165949, 166464, 165831, 166602, 166092, 165718, 166998, 165976, 166360, 166746, 166371, 166116, 166627, 166248, 165738, 165616, 166000, 165618, 165747, 166004, 166257]	164953	165149	1.1762625278983128	10.0	[165738, 165658, 165651, 165618, 165386, 165167, 165236, 165149, 165149, 165106, 165201, 165321, 165149, 165565, 165651, 164953, 165149, 165149, 165003, 165051, 165081, 164608, 165655, 165641, 165311, 165201, 165483, 165460, 165180, 165679, 165149, 165381, 165430, 165172, 165184, 165081, 165368, 165351, 164455, 165150, 165718, 165315, 165616, 165033, 165659]
1220	165808	0.0	3.5	61.0	1.0	0.19731007577216764	52	167013	[166533, 165895, 166920, 166797, 165780, 165782, 166935, 166552, 166041, 166045, 166560, 166570, 166060, 165935, 166065, 166067, 166200, 166457, 166713, 165949, 166464, 165831, 166602, 166092, 166998, 165976, 166360, 166746, 166371, 166116, 166627, 166248, 165738, 166000, 166257, 165747, 166004]	164953	165149	1.1762625278983128	10.0	[165652, 165738, 165658, 165651, 165618, 165386, 165167, 165236, 165149, 165149, 165106, 165201, 165321, 165149, 165565, 165651, 164953, 165149, 165149, 165003, 165051, 165081, 164608, 165655, 165641, 165311, 165201, 165483, 165460, 165180, 165679, 165149, 165381, 165430, 165172, 165184, 165081, 165368, 165351, 164455, 165150, 165718, 165315, 165831, 165747, 165780, 165616, 165033, 165782, 165659]
2000	165738	1.5747002504557305e-07	4.5	100.0	1.0	0.19927508873864355	52	167288	[166533, 165895, 166920, 166797, 165652, 165780, 165782, 165655, 166552, 166041, 165658, 165659, 166935, 166045, 166560, 167205, 166570, 166060, 165679, 165808, 165935, 166065, 166067, 166200, 166457, 166713, 165949, 167230, 166464, 165831, 166602, 166092, 165718, 166998, 165976, 166360, 166746, 166371, 166116, 166627, 166248, 166000, 166257, 165747, 166004, 167039]	164953	165149	1.1762625278983128	10.0	[165652, 165808, 165658, 165651, 165618, 165386, 165167, 165236, 165149, 165149, 165106, 165201, 165321, 165149, 165565, 165651, 164953, 165149, 165149, 165003, 165051, 165081, 164608, 165655, 165641, 165311, 165201, 165483, 165460, 165180, 165679, 165149, 165381, 165430, 165172, 165184, 165081, 165368, 165351, 164455, 165150, 165718, 165315, 165747, 165780, 165616, 165033, 165782, 165659]
2400	165658	0.0	5.0	120.0	1.0	0.20183555775549492	52	167380	[166533, 165895, 166920, 165641, 166797, 165651, 165652, 165780, 165782, 165655, 166552, 166041, 165659, 166935, 166045, 166560, 167205, 166570, 166060, 165935, 165679, 165808, 166065, 166067, 166200, 166457, 166713, 165949, 167230, 166464, 165831, 166602, 166092, 165718, 166998, 165976, 166360, 166746, 166371, 166116, 166627, 166248, 165738, 165616, 166000, 165618, 165747, 166004, 166257, 167039]	164953	165149	1.1762625278983128	10.0	[165652, 165738, 165651, 165618, 165386, 165167, 165236, 165149, 165149, 165106, 165201, 165321, 165149, 165565, 165651, 164953, 165149, 165149, 165003, 165051, 165081, 164608, 165655, 165641, 165311, 165201, 165483, 165460, 165180, 165679, 165149, 165381, 165430, 165172, 165184, 165081, 165368, 165351, 164455, 165150, 165718, 165315, 165616, 165033, 165659]
120	347759	0.0	2.0	6.0	1.0	0.20290925616691263	92	348448	[347757, 347767]	347757	347767	1.250165705863248	6.0	[347227, 347459, 346611, 347257, 347136, 347177, 347156, 347023, 346723, 347127, 347757, 346783, 347256, 346898, 347469, 347767, 347517, 347272, 345697, 347207, 346510, 347523, 347445, 346461, 346461, 346461, 346461, 346505, 347364, 346866, 347039, 346706]
480	374571	0.0	2.5	24.0	1.0	0.2043641713651033	107	375432	[374528, 374564, 374566, 374951, 374888, 374637, 374609, 374610, 374899, 374711, 374716, 375197, 374751]	373954	374354	1.771718354739455	10.0	[374528, 374637, 374022, 374389, 374309, 374566, 374566, 374399, 374399, 374399, 374399, 374399, 374399, 374343, 374035, 374022, 374201, 374244, 372850, 374182, 374022, 374022, 372904, 373197, 372818, 373260, 374609, 372881, 372850, 374354, 374610, 374564, 372933, 373954, 372496]
1240	254490	0.0	3.5	62.0	1.0	0.20491135322330298	82	255695	[254478, 254482, 254623, 254504, 254894, 254909, 255042, 254661, 254662, 254537, 254797, 254929, 254419, 255065, 255069, 254815, 254434, 254438, 254694, 254445, 254584]	253997	254114	1.6188963863201828	8.0	[254482, 254478, 254256, 254419, 254128, 254300, 254107, 254070, 252511, 252589, 254234, 254103, 254086, 254002, 252551, 254391, 252757, 253997, 252503, 254372, 254537, 252898, 254216, 253206, 252680, 253518, 252389, 254251, 254281, 254002, 254504, 253662, 254125, 254287, 254434, 254002, 253726, 254281, 253691, 254445, 254438, 254251, 254070, 253064, 251995, 252910, 253066, 252974, 253360, 253328, 254114, 252454, 252417]
2020	254482	0.0	4.5	101.0	1.0	0.2062782556508765	82	256032	[254478, 254490, 254623, 254504, 254894, 254909, 255042, 254661, 254662, 254537, 254797, 254929, 254419, 255065, 255069, 254815, 254434, 254438, 254694, 254445, 254584]	253997	254114	1.6188963863201828	8.0	[254490, 254478, 254256, 254419, 254128, 254300, 254107, 254070, 252511, 252589, 254234, 254103, 254086, 254002, 252551, 254391, 252757, 253997, 252503, 254372, 254537, 252898, 254216, 253206, 252680, 253518, 252389, 254251, 254281, 254002, 254504, 253662, 254125, 254287, 254434, 254002, 253726, 254281, 253691, 254445, 254438, 254251, 254070, 253064, 251995, 252910, 253066, 252974, 253360, 253328, 254114, 252454, 252417]
2800	165651	0.0	5.5	140.0	1.0	0.20753988731035078	52	167545	[166533, 165895, 166920, 165641, 166797, 165652, 165780, 165782, 165655, 166552, 166041, 165658, 165659, 166935, 166045, 166560, 167205, 166570, 166060, 165935, 165679, 165808, 166065, 166067, 166200, 166457, 166713, 165565, 165949, 167230, 166464, 165831, 166602, 166092, 165718, 166998, 165976, 166360, 166746, 166371, 166116, 166627, 166248, 165738, 165616, 166000, 165618, 165747, 166004, 166257, 167413, 167039]	164953	165149	1.1762625278983128	10.0	[165652, 165658, 165618, 165386, 165167, 165236, 165149, 165149, 165106, 165201, 165321, 165149, 165565, 164953, 165149, 165149, 165003, 165051, 165081, 164608, 165655, 165641, 165311, 165201, 165483, 165460, 165180, 165679, 165149, 165381, 165430, 165172, 165184, 165081, 165368, 165351, 164455, 165150, 165718, 165315, 165616, 165033, 165659]
500	20241	0.0	2.5	25.0	1.0	0.20758157297477836	14	21102	[20226, 20618, 20240, 20627, 20761, 20638, 20640, 20652, 20530, 20417, 20167, 20555, 20300, 20813, 20818, 20691, 20180, 20181, 20824, 20576, 20589, 20980, 20470]	20013	20072	0.9572298703808853	8.5	[20300, 20181, 20127, 20050, 20127, 20127, 20180, 20072, 20240, 20013, 20167, 20226]
3200	165618	0.0	6.0	160.0	1.0	0.20882948343298727	52	167685	[166533, 165895, 166920, 165641, 166797, 165651, 165652, 165780, 165782, 165655, 166552, 166041, 165658, 165659, 166935, 166045, 166560, 167205, 166570, 166060, 165935, 165679, 165808, 166065, 166067, 166200, 166457, 166713, 165565, 165949, 167230, 166464, 165831, 166602, 166092, 165718, 166998, 165976, 166360, 166746, 166371, 166116, 166627, 166248, 165738, 165616, 166000, 165747, 166004, 166257, 167413, 167039]	164953	165149	1.1762625278983128	10.0	[165652, 165658, 165651, 165386, 165167, 165236, 165149, 165149, 165106, 165201, 165321, 165149, 165565, 165651, 164953, 165149, 165149, 165003, 165051, 165081, 164608, 165655, 165641, 165311, 165201, 165483, 165460, 165180, 165679, 165149, 165381, 165430, 165172, 165184, 165081, 165368, 165351, 164455, 165150, 165315, 165616, 165033, 165659]
860	254623	0.0	3.0	43.0	1.0	0.2095717672975924	82	255656	[255042, 254661, 254662, 254694, 254537, 254797, 254894, 254929, 255069, 254815, 254584, 255065, 254909]	253997	254114	1.6188963863201828	8.0	[254490, 254482, 254584, 254478, 254661, 254662, 254256, 254694, 254419, 254128, 254300, 254107, 254070, 252511, 252589, 254234, 254103, 254086, 254002, 252551, 254391, 252757, 253997, 252503, 254372, 254537, 252898, 254216, 253206, 252680, 253518, 252389, 254251, 254281, 254002, 254504, 253662, 254125, 254287, 254434, 254002, 253726, 254281, 253691, 254445, 254438, 254251, 254070, 253064, 251995, 252910, 253066, 252974, 253360, 253328, 254114, 252454, 252417]
880	149705	1.181025187841798e-07	3.0	44.0	1.0	0.21145921251511446	65	150738	[150050, 149928, 149966, 149680, 149682, 149876, 149622, 149854]	149622	149682	0.9569419762038754	3.5	[148314, 148081, 148346, 148170, 148536, 148386, 148695, 149302, 148419, 148825, 149622, 147967, 149049, 148475, 149442, 149077, 148645, 148889, 148877, 149249, 149680, 148081, 148128, 149682, 148008, 148127, 148403, 148535, 148474, 149337, 148257, 148613, 148137, 148118, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886, 147886]
